        Time    SYSclass         Lat         Lon         Dir         Vel        Size    Ttyyyxx1    Ttyyyxx2    Ttyyyxx3    Ttyyyxx4    Ttyyyxx5   RiverFrac    ConvFrac    StraFrac       MeanZ        MaxZ     MeanVIL       TtVIL    MeanPrec     MaxPrec
        0.00        0.00       -3.61      -58.47      288.00       35.10       25.00        0.00        0.00        0.00        0.00        0.00        4.00       40.00       60.00       31.09       38.73        1.10       27.55        6.33       21.64
        0.20        1.00       -3.61      -58.49      270.00       11.10       50.00        0.00        0.00        0.00        0.00        0.00        8.00       26.00       74.00       26.28       37.37        0.53       26.40        2.77       17.36
        0.40        1.00       -3.63      -58.53      243.00       24.80       36.00        0.00        0.00        0.00        0.00        0.00        0.00       30.56       69.44       26.28       34.19        0.53       19.08        2.67       10.64
        0.60        1.00       -3.55      -58.53        0.00       44.40       94.00        0.00        0.00        2.00        0.00        0.00       28.72       25.53       74.47       34.86       49.32        1.67      156.71       11.71      113.17
        0.80        1.00       -3.55      -58.57      270.00       22.20      117.00        2.00        0.00        0.00        0.00        2.00       29.06       17.95       82.05       31.91       45.12        1.23      143.53        6.88       58.59
        1.00        1.00       -3.53      -58.61      296.00       24.80      114.00        1.00        1.00        5.00        1.00        0.00       24.56       28.95       71.05       31.91       44.58        1.16      131.70        7.03       53.78
        1.20        1.00       -3.53      -58.67      270.00       33.30      150.00        1.00        0.00        0.00        0.00        0.00       28.67       16.67       83.33       26.70       40.51        0.63       94.65        2.88       28.39
        1.40        2.00       -3.49      -58.77      270.00       11.10      108.00        0.00        0.00        0.00        0.00        0.00       23.15       25.93       74.07       31.72       46.80        1.06      114.87        6.88       76.31
        1.60        1.00       -3.51      -58.81      243.00       24.80      114.00        0.00        1.00        1.00        0.00        0.00       35.96       27.19       72.81       31.51       46.06        1.19      136.06        6.83       68.02
        1.80        2.00       -3.51      -58.95      270.00       22.20      157.00        1.00        0.00        0.00        0.00        0.00       41.40       33.76       66.24       30.16       44.52        1.01      158.86        5.39       53.25
        2.00        1.00       -3.47      -59.01      303.00       40.00      210.00        3.00        2.00        3.00        8.00        7.00       39.52       30.48       69.52       32.64       45.78        1.53      321.40        7.98       64.93
        2.20        1.00       -3.47      -59.05      270.00       22.20      199.00        1.00        1.00        7.00        3.00        9.00       35.68       36.68       63.32       33.61       46.71        1.75      348.60        9.58       75.20
        2.40        2.00       -3.61      -59.09      270.00       22.20      213.00       11.00       22.00       12.00       20.00        9.00       20.66       30.05       69.95       34.47       51.65        2.19      467.23       11.04      162.97
        2.60        2.00       -3.61      -59.13      296.00       24.80      182.00        3.00       32.00        8.00       10.00        7.00       15.38       40.11       59.89       36.23       49.57        2.62      477.12       14.69      117.40
        2.80        3.00       -3.53      -59.15      314.00       15.70      257.00       12.00       28.00        4.00       21.00       12.00       31.13       40.08       59.92       36.53       52.62        2.59      665.53       15.51      189.68
        3.00        1.00       -3.51      -59.21      288.00       35.10      271.00        8.00       15.00       20.00       18.00       21.00       24.35       39.48       60.52       36.02       50.68        2.58      700.14       14.39      139.69
        3.20        3.00       -3.57      -59.21      270.00       22.20      311.00        7.00       11.00        5.00        2.00        6.00       25.40       42.77       57.23       34.98       49.49        2.36      735.40       12.12      116.26
        3.40        1.00       -3.51      -59.27      314.00       47.10      271.00        3.00       18.00        5.00        4.00        1.00       24.35       50.18       49.82       35.58       51.09        2.14      580.79       13.58      149.23
        3.60        2.00       -3.29      -59.39      270.00       22.20      106.00        0.00        8.00        1.00        4.00        0.00       22.64       68.87       31.13       37.55       48.85        2.64      279.68       18.49      104.90
        3.80        1.00       -3.29      -59.47      270.00       44.40      102.00        5.00       30.00        6.00        5.00        4.00       12.75       78.43       21.57       37.63       48.47        3.06      312.22       18.77       98.92
        4.00        1.00       -3.27      -59.53      288.00       35.10       86.00        2.00       52.00        7.00        7.00       10.00        9.30       74.42       25.58       37.80       50.89        2.78      239.14       19.46      144.55
        4.20        3.00       -3.31      -59.63      296.00       24.80      102.00        6.00       24.00        5.00        6.00        3.00       11.76       82.35       17.65       32.10       46.74        1.39      141.77        7.96       75.39
        4.40        1.00       -3.29      -59.69      288.00       35.10      103.00        0.00        0.00        0.00        0.00        0.00       21.36       93.20        6.80       27.47       39.92        0.87       89.70        3.74       26.00
        4.60        2.00       -3.21      -59.75      296.00       24.80       72.00        3.00        6.00        1.00        0.00        0.00       23.61       95.83        4.17       31.72       47.01        1.05       75.86        7.85       78.78
        4.80        1.00       -3.19      -59.85      281.00       56.60       67.00        0.00        0.00        0.00        0.00        0.00       31.34       97.01        2.99       29.91       43.02        0.91       60.79        5.67       42.21
        5.00        1.00       -3.19      -59.87      270.00       11.10       78.00        0.00        0.00        0.00        0.00        0.00       50.00      100.00        0.00       28.17       41.78        0.63       48.85        4.22       34.79
        5.20        1.00       -3.21      -59.95      255.00       45.80       32.00        0.00        0.00        0.00        0.00        0.00       68.75      100.00        0.00       25.83       29.65        0.33       10.68        2.90        5.11
